,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
5178,-118.26,33.94,45,1080,218,850,237,2.25,<1H OCEAN
3602,-118.49,34.22,30,1756,314,899,288,5.0325,<1H OCEAN
19821,-119.45,36.48,38,402,86,311,87,3.1719,INLAND
17798,-121.81,37.38,29,570,76,244,72,12.3292,<1H OCEAN
12274,-116.95,33.97,14,5320,974,1947,843,3.1393,INLAND
16302,-121.35,38,22,3564,730,1539,699,3.675,INLAND
6423,-118,34.14,31,1298,431,1131,425,1.0548,INLAND
8685,-118.31,33.86,29,2243,361,1051,352,6.6632,<1H OCEAN
819,-122.07,37.63,35,1931,376,1175,337,3.7292,NEAR BAY
18990,-121.99,38.48,17,1824,348,934,305,4.6719,INLAND
11892,-117.35,33.99,45,131,28,89,31,2.6071,INLAND
10423,-117.62,33.47,4,1812,255,661,211,6.487,NEAR OCEAN
9746,-121.62,36.63,52,1437,298,836,257,3.6286,<1H OCEAN
5484,-118.46,33.98,32,2388,591,1009,556,5.2121,<1H OCEAN
4678,-118.34,34.08,52,1721,195,688,196,15.0001,<1H OCEAN
1973,-120.76,38.6,14,2925,625,1226,437,2.5865,INLAND
2487,-120.35,36.16,18,1519,296,846,272,2.7792,INLAND
14902,-117.06,32.61,23,1630,362,1267,418,2.5625,NEAR OCEAN
13249,-117.64,34.11,16,2129,420,932,379,2.5868,INLAND
8681,-118.33,33.87,44,724,133,373,133,3.9167,<1H OCEAN
10663,-117.82,33.66,24,4227,641,1605,589,6.4238,<1H OCEAN
15862,-122.4,37.75,44,6848,1584,3269,1383,2.8679,NEAR BAY
8568,-118.42,33.9,29,1929,523,686,455,5.5347,<1H OCEAN
20313,-119.14,34.15,25,2202,390,1415,412,4.43,NEAR OCEAN
11793,-121.19,38.85,8,4114,710,2268,716,4.4085,INLAND
7857,-118.13,33.89,33,3668,867,2368,845,2.8906,<1H OCEAN
15784,-122.41,37.78,52,1014,422,1055,382,1.8519,NEAR BAY
17577,-121.94,37.31,30,1680,312,858,310,4.0474,<1H OCEAN
231,-122.2,37.8,46,2041,405,1059,399,3.8487,NEAR BAY
5838,-118.36,34.2,14,1878,614,1874,559,2.5267,<1H OCEAN
2435,-119.59,36.57,19,1733,303,911,281,3.5987,INLAND
5964,-117.81,34.08,13,18448,2474,7775,2397,7.7876,INLAND
5196,-118.27,33.94,43,1309,344,1182,340,1.6625,<1H OCEAN
18035,-121.92,37.24,27,1265,216,660,232,5.3911,<1H OCEAN
2850,-118.96,35.38,34,2047,347,888,352,3.6734,INLAND
8494,-118.3,33.9,19,2421,689,1726,660,3.287,<1H OCEAN
18764,-122.31,40.75,18,1411,330,494,227,1.4911,INLAND
13327,-117.66,34.05,33,960,216,831,222,2.5391,INLAND
3857,-118.43,34.17,34,2180,424,906,429,4.4464,<1H OCEAN
19541,-120.94,37.63,43,244,52,176,60,1.425,INLAND
6002,-117.76,34.08,37,2263,502,1677,522,2.9388,INLAND
1349,-121.93,38.02,13,1524,286,940,308,5.1337,INLAND
1919,-120.92,38.86,11,1720,345,850,326,3.2027,INLAND
14221,-117.06,32.66,24,2587,491,1617,458,3.5066,NEAR OCEAN
3502,-118.44,34.27,36,1111,275,1333,266,3.5347,<1H OCEAN
14927,-117,32.67,16,2238,307,1002,303,6.6143,NEAR OCEAN
1110,-121.63,39.82,11,3974,727,1610,634,2.6147,INLAND
13580,-117.29,34.13,52,2424,528,1171,455,1.4815,INLAND
4571,-118.27,34.07,34,786,341,1239,320,2.3438,<1H OCEAN
7414,-118.23,33.95,43,1683,520,2190,494,2.2391,<1H OCEAN
1218,-120.88,38.16,8,2029,387,1000,364,4.0109,INLAND
12673,-121.4,38.49,12,7290,1283,3960,1248,3.5968,INLAND
12565,-121.44,38.54,44,2570,509,1145,503,2.5694,INLAND
5921,-117.71,34.15,17,17715,2370,7665,2312,7.9068,INLAND
9929,-122.32,38.29,21,1607,356,834,352,2.3787,NEAR BAY
15465,-117.22,33.18,13,4273,886,2328,801,3.3444,<1H OCEAN
1821,-122.29,37.92,35,583,88,235,84,5.943,NEAR BAY
16198,-121.27,37.96,43,1624,448,1805,440,1.425,INLAND
4962,-118.3,34.01,52,1444,343,1154,334,2.0625,<1H OCEAN
5632,-118.28,33.75,41,1305,381,1384,369,2.45,NEAR OCEAN
12093,-117.4,33.76,8,1954,330,973,321,4.4875,INLAND
2965,-119.07,35.35,24,4119,865,1294,879,2.4123,INLAND
14123,-117.1,32.75,11,1976,548,1528,512,1.4886,NEAR OCEAN
112,-122.25,37.82,26,3959,1196,1749,1217,3.0233,NEAR BAY
20296,-119.19,34.16,35,2733,510,1814,511,4.4187,NEAR OCEAN
3106,-117.69,35.63,5,3151,482,1335,428,5.5773,INLAND
7824,-118.13,33.91,36,1967,316,910,306,4.4948,<1H OCEAN
8413,-118.35,33.94,36,2225,601,2755,610,2.5547,<1H OCEAN
14419,-117.21,32.8,19,786,282,525,229,1.7273,NEAR OCEAN
238,-122.21,37.79,45,2115,533,1530,474,2.4167,NEAR BAY
7010,-118.08,33.97,38,1026,190,789,193,4.2,<1H OCEAN
19796,-123.18,40.58,18,1451,278,695,254,1.7262,INLAND
10595,-117.79,33.68,16,1998,308,818,299,6.8722,<1H OCEAN
20172,-119.17,34.29,28,731,155,285,162,3.2917,NEAR OCEAN
1186,-121.55,39.45,18,2278,523,1185,475,1.3611,INLAND
9502,-123.54,39.17,18,2251,510,1032,369,2.2946,<1H OCEAN
13989,-117.19,34.94,31,2034,444,1097,367,2.1522,INLAND
1105,-121.58,39.83,16,4591,904,1904,812,2.2419,INLAND
18873,-122.22,38.08,37,2811,,1574,516,3.1053,NEAR BAY
1207,-121.75,39.4,29,1687,327,864,334,2.4943,INLAND
8754,-118.36,33.82,28,67,15,49,11,6.1359,<1H OCEAN
11570,-118.01,33.77,32,1771,296,995,272,5.8362,<1H OCEAN
8947,-118.45,34.02,45,1230,201,565,219,6.3521,<1H OCEAN
3586,-118.53,34.23,32,4039,984,2675,941,3.0321,<1H OCEAN
20264,-119.19,34.2,36,1293,312,1128,335,2.1542,NEAR OCEAN
5780,-118.26,34.15,18,2481,756,1763,675,2.8088,<1H OCEAN
18256,-122.09,37.38,36,2587,416,1055,410,6.1995,NEAR BAY
6762,-118.13,34.09,21,3862,1186,2773,1102,2.7816,<1H OCEAN
9065,-118.14,34.65,20,1257,201,551,186,4.6591,INLAND
13585,-117.3,34.12,43,1018,261,736,215,2.6,INLAND
14965,-116.99,32.74,18,3341,611,1952,602,3.9844,<1H OCEAN
10583,-117.8,33.72,16,2617,506,1317,511,4.821,<1H OCEAN
14681,-117.09,32.83,15,4138,636,2001,677,4.8419,<1H OCEAN
9871,-121.82,36.61,24,2437,438,1430,444,3.8015,<1H OCEAN
12183,-117.28,33.72,11,1161,235,640,210,2.1667,<1H OCEAN
6187,-117.91,34.1,35,2746,478,1779,501,4.25,<1H OCEAN
3154,-118.43,35.12,8,1968,376,930,360,3.2632,INLAND
4524,-118.21,34.05,28,1841,809,3199,727,1.6319,<1H OCEAN
7693,-118.12,33.97,33,3099,839,2025,750,3.183,<1H OCEAN
10259,-117.85,33.86,18,329,72,209,71,4.6806,<1H OCEAN
19112,-122.63,38.22,34,878,160,372,167,4.0417,<1H OCEAN
15963,-122.44,37.71,52,2711,591,1848,524,3.9567,NEAR BAY
17730,-121.76,37.33,5,4153,719,2435,697,5.6306,<1H OCEAN
12876,-121.36,38.66,22,2878,599,1362,541,2.7955,INLAND
7752,-118.15,33.92,30,915,234,646,211,2.5208,<1H OCEAN
1491,-122.02,37.95,22,3526,510,1660,508,5.6642,NEAR BAY
4666,-118.29,34.05,30,1417,589,1615,540,1.3867,<1H OCEAN
11392,-117.97,33.73,27,2097,325,1217,331,5.7121,<1H OCEAN
18879,-122.26,38.1,24,1213,395,699,386,1.3007,NEAR BAY
10478,-117.69,33.6,16,2205,393,1333,402,3.475,<1H OCEAN
17090,-122.22,37.47,28,5956,1612,3571,1549,3.1864,NEAR OCEAN
14568,-117.21,32.83,36,1475,328,806,327,3.5078,NEAR OCEAN
9313,-122.51,37.98,37,4801,699,1830,679,6.0762,NEAR BAY
2433,-119.63,36.6,33,1589,294,1102,307,1.9676,INLAND
10284,-117.83,33.9,23,2446,360,1196,359,6.5755,<1H OCEAN
12760,-121.39,38.62,45,2696,624,1059,582,1.8176,INLAND
17595,-121.89,37.31,40,1844,340,719,305,3.3682,<1H OCEAN
1026,-120.59,38.45,13,2944,558,1091,466,3,INLAND
6682,-118.09,34.15,49,1467,259,688,260,4.3452,INLAND
15595,-116.37,33.19,12,4890,1152,1289,570,2.5795,INLAND
16194,-121.3,37.96,52,1354,314,679,311,1.7788,INLAND
4542,-118.2,34.03,52,583,157,730,174,1.4115,<1H OCEAN
8145,-118.1,33.82,36,2422,420,1193,421,4.8462,<1H OCEAN
20477,-118.74,34.28,21,4056,637,1974,634,5.9024,<1H OCEAN
6632,-118.16,34.17,46,1508,261,674,255,3.5909,<1H OCEAN
11925,-117.4,33.95,43,633,166,292,135,1.1601,INLAND
11854,-120.46,39.83,18,3406,673,1567,617,2.2717,INLAND
3121,-117.74,35.65,15,2357,484,1110,442,3.1755,INLAND
8936,-118.47,34.02,41,2136,549,986,557,2.7254,<1H OCEAN
11763,-121.28,38.73,6,4223,672,1747,631,5.419,INLAND
5372,-118.38,34.04,45,767,130,254,118,6.2895,<1H OCEAN
2134,-119.71,36.8,25,875,156,646,166,3,INLAND
5602,-118.28,33.79,28,1895,420,1422,389,4.3816,<1H OCEAN
17506,-121.9,37.35,52,1034,239,531,223,2.7411,<1H OCEAN
6665,-118.09,34.17,36,2875,552,1131,458,4.3083,INLAND
17437,-120.45,34.64,17,1226,277,484,224,3.2167,NEAR OCEAN
16356,-121.32,38.02,26,2851,533,1544,499,3.5379,INLAND
13268,-117.66,34.09,26,1151,200,593,188,3.6667,INLAND
14299,-117.14,32.71,34,1694,455,1467,425,2.1164,NEAR OCEAN
4156,-118.2,34.12,44,1565,398,1500,407,2.8125,<1H OCEAN
16449,-121.27,38.14,40,929,257,576,229,2.125,INLAND
5679,-118.29,33.71,40,1644,471,780,416,3.1071,NEAR OCEAN
7533,-118.22,33.91,31,571,153,841,158,2.6154,<1H OCEAN
20179,-119.22,34.34,29,3128,672,1815,648,2.9821,NEAR OCEAN
15152,-117.05,33.01,17,3430,425,1468,433,10.6186,<1H OCEAN
4404,-118.23,34.07,40,506,119,397,114,3.1944,<1H OCEAN
1198,-121.69,39.36,29,2220,471,1170,428,2.3224,INLAND
4797,-118.35,34.02,52,427,92,233,116,3.25,<1H OCEAN
8578,-118.41,33.89,35,1194,292,507,295,9.0812,<1H OCEAN
18435,-121.83,37.26,15,3243,551,1752,551,5.5849,<1H OCEAN
18569,-121.75,36.92,46,1362,321,1068,305,2.4615,<1H OCEAN
19994,-119.37,36.19,24,1306,266,889,276,2.4922,INLAND
6153,-117.97,34.09,31,2779,639,2259,670,3.4032,INLAND
13941,-117.18,34.3,33,399,87,71,27,1.875,INLAND
6208,-117.9,34.06,33,1330,209,578,192,5.6406,<1H OCEAN
7050,-118.05,33.93,31,894,203,883,190,3.6771,<1H OCEAN
7116,-118.01,33.9,36,1382,257,685,255,5.125,<1H OCEAN
5586,-118.3,33.8,27,2790,513,1498,519,5.3106,<1H OCEAN
697,-122.11,37.69,37,2444,651,1562,618,2.6464,NEAR BAY
18186,-122.03,37.38,21,2667,798,1433,727,3.8732,<1H OCEAN
5382,-118.41,34.03,26,4376,1394,2435,1250,2.8418,<1H OCEAN
12636,-121.49,38.47,26,6121,1185,4224,1105,2.3496,INLAND
20042,-119,36.06,41,937,158,396,142,4.0833,INLAND
17866,-121.92,37.45,10,3937,1054,2032,1002,3.2617,<1H OCEAN
20470,-118.74,34.27,23,2493,522,1488,505,4.18,<1H OCEAN
17110,-122.21,37.46,40,1777,207,577,207,15.0001,NEAR OCEAN
19691,-121.62,39.12,35,2787,587,1431,601,2.5469,INLAND
13065,-121.32,38.56,18,1169,186,614,192,4.5766,INLAND
12048,-117.5,33.87,4,6755,1017,2866,850,5.0493,INLAND
18211,-122.06,37.39,22,1236,290,413,274,3.6875,NEAR BAY
5366,-118.39,34.04,44,1873,286,635,283,5.5951,<1H OCEAN
207,-122.22,37.79,37,2343,574,1608,523,2.1494,NEAR BAY
3288,-122.73,39.04,23,1618,395,425,244,1.9833,INLAND
2079,-119.81,36.75,52,1827,356,855,353,1.7636,INLAND
14169,-117.06,32.76,38,1549,288,636,278,3.2188,NEAR OCEAN
17118,-122.14,37.5,46,30,4,13,5,15.0001,NEAR BAY
11697,-117.99,33.89,23,2111,306,979,288,8.5621,<1H OCEAN
19738,-122.34,40.32,12,3848,689,2008,683,2.6352,INLAND
12992,-121.26,38.69,17,3917,638,1809,564,5.2586,INLAND
435,-122.3,37.88,45,453,146,749,137,1.475,NEAR BAY
13261,-117.67,34.1,19,2969,605,1326,573,4.3438,INLAND
3104,-117.67,35.63,32,3661,787,1613,706,3.0687,INLAND
14080,-117.12,32.77,48,2012,422,893,394,2.7928,NEAR OCEAN
2575,-124.13,40.8,31,2152,462,1259,420,2.2478,NEAR OCEAN
9982,-122.18,38.49,15,1743,366,655,264,3.3393,INLAND
9748,-121.62,36.69,11,4712,1098,5982,1105,2.5986,<1H OCEAN
452,-122.27,37.88,37,2619,682,1152,616,2.52,NEAR BAY
19604,-121.09,37.56,32,1717,325,1356,307,2.6705,INLAND
16921,-122.33,37.57,27,3085,876,1453,896,3.4333,NEAR OCEAN
2172,-119.85,36.78,8,3096,684,1454,545,2.7857,INLAND
11375,-117.96,33.68,18,2594,539,817,485,2.3674,<1H OCEAN
617,-122.15,37.73,52,1028,129,317,143,4.9135,NEAR BAY
7760,-118.14,33.91,34,2011,472,1087,423,3.0465,<1H OCEAN
7210,-118.17,34.03,43,1636,506,1855,502,2.2902,<1H OCEAN
10268,-117.88,33.87,21,1519,388,1203,366,3.2083,<1H OCEAN
13051,-121.29,38.61,17,13553,2474,6544,2359,3.9727,INLAND
7918,-118.09,33.87,31,3498,728,2098,697,3.9837,<1H OCEAN
7610,-118.22,33.88,37,1149,280,1016,250,2.125,<1H OCEAN
17801,-121.79,37.38,22,3650,527,1637,520,5.3774,<1H OCEAN
16440,-121.3,38.14,17,3507,696,1867,709,3.2123,INLAND
10875,-117.89,33.72,23,2305,538,2493,502,3.6618,<1H OCEAN
5448,-118.42,34.01,29,1996,489,960,449,3.6611,<1H OCEAN
18670,-121.88,36.98,21,4117,752,2001,763,4.8953,NEAR OCEAN
20004,-119.19,36.14,41,759,140,408,129,3.9,INLAND
9991,-121.1,39.08,13,1110,216,602,209,2.5887,INLAND
11519,-118.07,33.73,13,1822,313,643,303,9.8346,NEAR OCEAN
10090,-117.97,33.93,31,1975,373,918,347,4.4107,<1H OCEAN
10886,-117.91,33.71,16,3113,783,1719,715,3.6505,<1H OCEAN
8584,-118.4,33.89,31,2926,492,1149,476,7.9611,<1H OCEAN
12781,-121.43,38.64,34,2010,411,1501,422,2.0417,INLAND
14783,-117.09,32.56,8,864,156,626,172,4.8984,NEAR OCEAN
16529,-121.17,37.82,35,2506,406,1316,398,3.8472,INLAND
15066,-116.97,32.79,19,4108,1101,2971,1006,1.9893,<1H OCEAN
14873,-117.09,32.62,37,1925,428,1344,426,2.4866,NEAR OCEAN
2515,-122.19,39.74,39,4179,814,2111,809,2.3507,INLAND
9845,-121.9,36.58,31,1431,,704,393,3.1977,NEAR OCEAN
12484,-121.49,38.58,52,569,405,509,367,0.9196,INLAND
16139,-122.46,37.78,52,2632,542,1364,544,3.4605,NEAR BAY
18562,-122.04,37,52,3365,644,796,333,2.9712,NEAR OCEAN
17990,-121.95,37.28,52,777,148,362,144,4.0208,<1H OCEAN
5347,-118.41,34.05,16,9728,2211,3026,1899,5.8758,<1H OCEAN
17169,-122.24,37.43,36,2410,361,934,377,7.652,NEAR OCEAN
4057,-118.44,34.15,15,4420,1076,1669,1016,4.6375,<1H OCEAN
20371,-118.9,34.17,14,4719,734,1880,731,5.3558,<1H OCEAN
16507,-121.11,37.74,11,3886,599,1605,529,4.4213,INLAND
9235,-120.09,37.02,9,1608,297,1057,295,3.7143,INLAND
3716,-118.41,34.2,32,2734,654,2209,610,3.5164,<1H OCEAN
16147,-122.47,37.78,52,3021,569,1479,514,4.0208,NEAR BAY
8984,-118.44,33.99,44,305,72,156,70,5.9641,<1H OCEAN
17496,-119.8,34.43,27,3143,537,1760,570,4.6957,NEAR OCEAN
10769,-117.89,33.66,33,3595,785,1621,732,4.1372,<1H OCEAN
15731,-122.44,37.78,52,3017,851,1588,800,3.3882,NEAR BAY
12915,-121.31,38.61,17,992,151,316,159,6.6238,INLAND
6635,-118.16,34.15,19,1721,290,571,278,6.6031,<1H OCEAN
10212,-117.9,33.88,35,2062,353,991,357,5.2897,<1H OCEAN
11698,-117.97,33.89,17,1851,344,764,339,5.1315,<1H OCEAN
9657,-120.62,36.99,32,2455,508,1344,492,1.9732,INLAND
10848,-117.91,33.66,26,5761,1326,2681,1116,4.0341,<1H OCEAN
13601,-117.25,34.16,35,2707,481,1595,479,3.9018,INLAND
18976,-122.03,38.25,13,3334,541,1923,538,4.0905,INLAND
19352,-122.95,38.73,37,1548,328,863,287,2.9792,<1H OCEAN
6991,-118.03,33.97,22,2185,623,1644,606,2.593,<1H OCEAN
8475,-118.32,33.91,34,1068,198,757,231,5.7528,<1H OCEAN
5146,-118.26,33.96,39,1255,323,902,327,1.5812,<1H OCEAN
11482,-117.99,33.73,24,2104,421,1181,414,3.8365,<1H OCEAN
20087,-120.33,38,14,1944,330,822,314,3.5,INLAND
787,-122.09,37.63,34,1457,242,735,249,3.9167,NEAR BAY
10650,-117.75,33.54,21,8711,1544,3173,1396,5.0907,<1H OCEAN
1761,-122.33,37.94,42,1695,345,719,334,3.9417,NEAR BAY
3769,-118.43,34.16,34,2459,489,1139,463,4.0347,<1H OCEAN
17475,-119.89,34.44,25,3160,507,1514,523,5.0767,NEAR OCEAN
3845,-118.46,34.18,27,2582,719,2038,718,3.0877,<1H OCEAN
1925,-120.5,38.87,10,81,41,55,16,4.9583,INLAND
12295,-116.89,33.93,29,4549,916,2494,912,2.0976,INLAND
5115,-118.3,33.96,39,2802,618,1524,529,2.6518,<1H OCEAN
6033,-117.73,34.08,28,5173,1069,3502,954,3.8438,INLAND
12382,-116.38,33.73,10,11836,2405,3811,1570,4.0079,INLAND
18568,-121.75,36.92,48,1801,353,1071,361,3.6,<1H OCEAN
12280,-116.99,33.92,26,503,69,293,59,3.7083,INLAND
7434,-118.21,33.94,41,1807,442,1628,443,2.84,<1H OCEAN
2173,-119.86,36.78,7,2232,490,1274,499,2.9853,INLAND
3750,-118.38,34.18,27,4834,1527,3847,1432,2.1449,<1H OCEAN
12599,-121.49,38.53,42,1468,281,571,271,3.3906,INLAND
5094,-118.3,33.97,46,1425,317,1140,304,3.375,<1H OCEAN
9568,-120.62,37.35,20,1457,372,1000,346,1.4615,INLAND
19930,-119.33,36.31,17,2401,409,1100,409,4.0577,INLAND
16146,-122.47,37.78,52,2951,647,1448,591,3.1392,NEAR BAY
8445,-118.37,33.91,35,1742,283,812,282,5.6704,<1H OCEAN
4662,-118.3,34.05,42,1476,610,1605,545,1.721,<1H OCEAN
11974,-117.42,34,32,1617,346,1153,385,3.016,INLAND
14035,-117.14,32.74,16,6075,1816,2592,1634,2.5553,NEAR OCEAN
3526,-118.51,34.27,36,2276,429,1001,419,4.1042,<1H OCEAN
6175,-117.93,34.08,36,1597,285,901,272,4.3947,<1H OCEAN
14990,-117.02,32.72,36,2030,369,1142,357,3.7763,NEAR OCEAN
1228,-120.42,38.42,18,2912,663,999,411,2.7344,INLAND
19034,-121.98,38.37,21,3027,675,2018,642,2.8438,INLAND
5278,-118.47,34.06,45,1271,190,419,171,7.6447,<1H OCEAN
2464,-119.79,36.55,32,1393,276,999,245,2.0216,INLAND
1287,-121.84,38.02,46,66,22,37,21,0.536,INLAND
6506,-118.06,34.08,42,1988,402,1239,402,3.2569,<1H OCEAN
458,-122.25,37.87,52,1204,460,2016,477,0.949,NEAR BAY
15231,-117.18,33.02,15,3540,453,1364,425,13.6623,NEAR OCEAN
809,-122.04,37.62,35,1032,173,453,176,6.396,NEAR BAY
7290,-118.22,33.98,36,1514,453,1496,448,2.1044,<1H OCEAN
5427,-118.42,34.02,34,2995,942,2626,947,2.2402,<1H OCEAN
6351,-117.94,34.14,33,1620,283,868,275,5.411,INLAND
2762,-116,33.19,16,245,57,81,33,1.2639,INLAND
11970,-117.42,33.98,16,10072,2043,5913,1909,3.0606,INLAND
6918,-118,33.96,37,2414,323,878,305,9.1541,<1H OCEAN
10345,-117.67,33.61,24,3859,661,1972,624,5.7871,<1H OCEAN
902,-121.98,37.53,28,2829,566,1610,540,4.6,<1H OCEAN
186,-122.23,37.79,52,1783,395,1659,412,2.9357,NEAR BAY
673,-122.17,37.7,24,1755,365,952,362,4,NEAR BAY
6054,-117.85,34,26,2712,402,1389,377,5.6513,<1H OCEAN
15196,-117.09,32.91,9,2012,316,802,289,6.5706,<1H OCEAN
13748,-117.14,34.06,15,3057,510,1154,460,3.9741,INLAND
7849,-118.17,33.89,11,3605,880,3637,873,2.6328,<1H OCEAN
2701,-115.57,32.85,33,1365,269,825,250,3.2396,INLAND
13531,-117.32,34.19,6,1068,182,999,188,4.7222,INLAND
2847,-118.95,35.4,23,4483,894,2136,883,3.6875,INLAND
6057,-117.78,34.03,8,32054,5290,15507,5050,6.0191,<1H OCEAN
19245,-122.75,38.5,16,4196,638,1713,615,5.449,<1H OCEAN
2165,-119.83,36.77,32,2867,615,1705,570,2.4286,INLAND
9984,-122.59,38.56,43,2088,379,721,293,4.65,<1H OCEAN
18158,-122.04,37.37,23,5135,911,2351,863,5.2319,<1H OCEAN
13234,-117.66,34.14,8,1692,253,857,251,6.9418,INLAND
15006,-117.03,32.77,34,1796,428,918,424,2.875,<1H OCEAN
18223,-122.08,37.41,20,1896,456,1069,436,4.6875,NEAR BAY
17683,-121.86,37.29,14,6160,1222,2472,1204,4.1444,<1H OCEAN
17502,-121.89,37.36,37,1525,363,1075,374,2.8971,<1H OCEAN
6694,-118.09,34.14,40,3092,549,1457,536,5.3377,INLAND
5327,-118.45,34.04,22,3319,1045,1848,940,3.6673,<1H OCEAN
7889,-118.05,33.87,18,4928,773,2952,754,5.8855,<1H OCEAN
4838,-118.28,34.03,45,943,289,953,238,2.0673,<1H OCEAN
4420,-118.26,34.07,46,2341,703,2371,648,2.4038,<1H OCEAN
5381,-118.4,34.03,43,1006,201,520,199,6.5669,<1H OCEAN
14890,-117.09,32.61,21,1945,430,1335,419,3.6467,NEAR OCEAN
292,-122.16,37.77,45,2324,397,968,384,3.5739,NEAR BAY
13388,-117.59,34.1,17,3646,1035,1987,895,2.3603,INLAND
8460,-118.36,33.9,39,1166,222,640,206,3.5313,<1H OCEAN
17788,-121.83,37.36,22,3936,860,3508,877,4.2312,<1H OCEAN
1302,-121.85,38,26,3364,570,1806,566,4.2647,INLAND
7854,-118.16,33.89,46,940,219,599,214,3.2813,<1H OCEAN
9538,-120.71,37.39,11,1479,341,1476,327,3.2721,INLAND
18907,-122.26,38.14,34,963,159,392,176,4.0156,NEAR BAY
18771,-122.29,40.44,30,1270,365,840,324,1.3904,INLAND
